id,date,user,pc,activity
{X1D9-S0ES98JV-5357PWMI},01/02/2010 06:49:00,NGF0157,PC-6056,Logon
{G2B3-L6EJ61GT-2222RKSO},01/02/2010 06:50:00,LRR0148,PC-4275,Logon
{U6Q3-U0WE70UA-3770UREL},01/02/2010 06:53:04,LRR0148,PC-4124,Logon
{I0N5-R7NA26TG-6263KNGM},01/02/2010 07:00:00,IRM0931,PC-7188,Logon
{D1S0-N6FH62BT-5398KANK},01/02/2010 07:00:00,MOH0273,PC-6699,Logon
{S6P1-M4MK04BB-0722IITW},01/02/2010 07:07:00,LAP0338,PC-5758,Logon
{M6O6-F9UU11TJ-2166YVFU},01/02/2010 07:08:00,MHH0180,PC-9822,Logon
{D0P1-U5IU49QG-5472TMLI},01/02/2010 07:08:00,NOB0181,PC-3446,Logon
{F9K3-Q1PD92IU-5821IGXW},01/02/2010 07:13:00,AHC0142,PC-8893,Logon
{S9A0-A3DP89HG-6719JORU},01/02/2010 07:14:00,CTR0341,PC-6184,Logon
{S6C5-Q8LQ18VJ-5964MXZD},01/02/2010 07:24:53,LRR0148,PC-4124,Logoff
{T4V9-H6HS83AJ-0413XDBH},01/02/2010 07:33:00,ATE0869,PC-1313,Logon
