http_id,activity_id,domain,path,query,contains_sensitive_keywords,visit_frequency
5ffadbbb-4f7d-4599-baca-cadb17edbba0,{V1Y4-S2IR20QU-6154HFXJ},msn.com,/The_Human_Centipede_First_Sequence/katsuro/arjf309875127.htm,,False,
bbba653a-f652-4c33-91ba-ddf5d2be9e11,{Q5R1-T3EF87UE-2395RWZS},urbanspoon.com,/Plunketts_Creek_Loyalsock_Creek/loyalsock/ivqrbtnzrferprvivatpbbxvatfnsrgltbfcryzhfvp69774532.jsp,,False,
adcfbec1-25e8-45eb-ac4d-440d7f4629bd,{X9O1-O0XW52VO-5806RPHG},aa.com,/Rhodocene/rhodocenium/fhaavatqrfxgbcrkrphgvir1766627142.html,,False,213.0
31d85102-5f9e-47a2-8f3b-af97bde304db,{G5S8-U5OG04TE-5299CCTU},groupon.com,/Leonhard_Euler/leonhard/tneqravafrpgfsvfuvatobng292602446.php,,False,
a05205d0-48b4-4ce5-8c80-47d9fb4f195b,{L0R4-A9DH29VP-4553AUWM},flickr.com,/Inauguration_of_Barack_Obama/biden/cvyngrfbcgvpfbcraebnqqrrcfrnsvfuvat1956596319.jsp,,False,26.0
a90fa1e8-f189-4acc-aa34-8d542de14bc5,{U7D0-K8FF04MI-4691ZHYP},skype.com,/William_D_Boyce/lsa/onpxcnpxpurzvfgelivfhnyfghqvbebfrtneqravat1659331077.jsp,,False,3.0
8c6acbdd-7416-4458-b40f-cba610a525ff,{D4T8-I2QG91QD-5892HWPX},wikipedia.org,/Maya_MIA_album/rusko/objuhagvatpynffvpnyzhfvppnaavatirtrgnoyrfgeniry830018872.jsp,,False,672.0
5c7bc4af-d6f7-4403-b817-4ff2227303db,{A4Z0-C9LR36OE-7241XUSU},constantcontact.com,/2008_ACC_Championship_Game/herzlich/onxrjnersvfuvatobngfrysurycserfujngresvfuvat628177942.aspx,,False,38.0
276d136b-85f3-4b92-86fd-a87b5811b017,{K2P9-H6BL68NS-7303TLDJ},tribalfusion.com,/Abbey_Theatre/classon/pheevphyhzanghergenvyfivqrbtnzrf779057038.html,,False,210.0
9aeae2e1-d46a-4791-ad97-5ab79616effb,{N2Y8-O6BU87DG-3052HVGF},pcworld.com,/Alexandre_Banza/bokassa/bcgvzvmngvbageniryfhaavatpevoontrpneqtnzr494829086.php,,False,82.0
1820457e-cf26-4f77-8191-11dec0aa1d02,{B7T7-C5LJ57MV-5914HNQX},edmunds.com,/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,,False,98.0
a4b937d8-1f69-4263-903d-e4d189af50af,{I7Q5-Y8LZ15QA-0537HNJP},gap.com,/Akhtar_Hameed_Khan/orangi/tnzoyvatpneqtnzrfobngsraqreirttvatbhg1143870239.php,,False,75.0
72a89a9c-8ab2-4b2f-8891-b9ae2abf3e3a,{G9R2-X4TJ00FW-3170ULVH},files.wordpress.com,/Star/starspots/ovyyvneqfgevpxfubgfgenirysbkuhagvatugzy1277956163.aspx,,False,207.0
10bd5539-4935-443d-a36c-8bd5a1f361dd,{L8S5-A1PH31MO-9651EQOM},wikipedia.org,/Maya_MIA_album/rusko/objuhagvatpynffvpnyzhfvppnaavatirtrgnoyrfgeniry830018872.jsp,,False,75.0
254b51e5-e808-44a4-ac65-2b2d4aa69e39,{T2J4-M8BH40DX-5584IPWG},sfgate.com,/Sweet_Track/westhay/guebhtuchgrkcrevzragfhcreobjyjrofhesvat192290683.htm,,False,
ff612574-312f-49bf-ab30-4280bf035008,{K1T2-Y6UW10IP-8013RLPO},sfgate.com,/Sweet_Track/westhay/guebhtuchgrkcrevzragfhcreobjyjrofhesvat192290683.htm,,False,4.0
b96bbc0b-ba46-4e48-9518-0ac3daff6f17,{Q9W5-H1VE79DP-1699HOLS},sfgate.com,/Sweet_Track/westhay/guebhtuchgrkcrevzragfhcreobjyjrofhesvat192290683.htm,,False,17.0
a6df3ad4-009d-4345-a0ff-c61fbf85207f,{H0V9-Q9MX33GD-6280RAGU},m-w.com,/M28_Business_IshpemingNegaunee_Michigan/ishpeming/fhcreobjy403396541.asp,,False,27.0
650b99ed-3f32-457d-94ad-a4b1c75a7582,{U5Q3-F4CO90LG-8400BAAI},amazonaws.com,/Congregation_Baith_Israel_Anshei_Emes/goldfarbs/obngvatehyrffpvraprfhcreobjy222502931.html,,False,15.0
fb4ab14d-2c2a-42fe-bf39-58770670e614,{G5Y9-N4NU95KL-0947IIBI},yfrog.com,/Saffron/saffron/fhccbegfhcreobjy789727225.aspx,,False,14.0
14199312-3e1c-4842-b416-1d664929584d,{K8S6-J5GR92YS-6090KSCF},sfgate.com,/Sweet_Track/westhay/guebhtuchgrkcrevzragfhcreobjyjrofhesvat192290683.htm,,False,20.0
85a6701b-c77e-460f-9f73-990642bc6e2a,{W8B9-L5TA46GV-0983JDOQ},yfrog.com,/Saffron/saffron/fhccbegfhcreobjy789727225.aspx,,False,1.0
7c1708cc-91e8-44ed-88bb-3b1af5db4358,{G8C4-M9OW71UP-9787HOEX},cbslocal.com,/Frank_Klepacki/kyrandia/cnlebyypbzchgrenvqrqznahsnpghevatfhcreobjybofreir1787195557.jsp,,False,15.0
