activity_id,datetime,user_id,pc_id,device_type,location,activity_type,action_details,risk_level,correlated_id,target_user_id
d029f252-612d-4dc7-9df4-563b42cbcc3d,2010-01-02 07:21:06,MOH0273,PC-6699,unknown,unknown,device,Details about the action,Low,d029f252-612d-4dc7-9df4-563b42cbcc3d,MOH0273
7811af82-ccf2-43c6-8b0e-3b8e6248a9b2,2010-01-02 07:37:41,MOH0273,PC-6699,unknown,unknown,device,Details about the action,Low,7811af82-ccf2-43c6-8b0e-3b8e6248a9b2,MOH0273
2c9fc3ec-7cf3-46f3-bd51-a395b5c1fd80,2010-01-02 07:59:11,HPH0075,PC-2417,unknown,unknown,device,Details about the action,Low,2c9fc3ec-7cf3-46f3-bd51-a395b5c1fd80,HPH0075
ac3cc752-bad3-4aff-9f9b-2092a477651e,2010-01-02 07:59:49,IIW0249,PC-0843,unknown,unknown,device,Details about the action,Low,ac3cc752-bad3-4aff-9f9b-2092a477651e,IIW0249
cc72a19e-4583-4c4e-8063-c74b2a11b876,2010-01-02 08:04:26,IIW0249,PC-0843,unknown,unknown,device,Details about the action,Low,cc72a19e-4583-4c4e-8063-c74b2a11b876,IIW0249
a8caffc2-eebf-486b-a34a-5167935fc799,2010-01-02 08:17:35,HPH0075,PC-2417,unknown,unknown,device,Details about the action,Low,a8caffc2-eebf-486b-a34a-5167935fc799,HPH0075
2ad2639b-bc5e-4eb0-ba69-9cd7f8a8c95b,2010-01-02 08:24:54,HSB0196,PC-8001,unknown,unknown,device,Details about the action,Low,2ad2639b-bc5e-4eb0-ba69-9cd7f8a8c95b,HSB0196
3ae3f57b-6c87-4971-8417-1beeb680470a,2010-01-02 08:25:18,RRC0553,PC-6672,unknown,unknown,device,Details about the action,Low,3ae3f57b-6c87-4971-8417-1beeb680470a,RRC0553
4a9af766-d45b-409c-ad56-27f5363f10de,2010-01-02 08:25:19,MOH0273,PC-6699,unknown,unknown,device,Details about the action,Low,4a9af766-d45b-409c-ad56-27f5363f10de,MOH0273
f96bb73d-b65e-49af-98b4-ccbdd6658706,2010-01-02 08:29:40,MOH0273,PC-6699,unknown,unknown,device,Details about the action,Low,f96bb73d-b65e-49af-98b4-ccbdd6658706,MOH0273
589b6bd9-75ff-488a-85b2-88cef6639df7,2010-01-02 08:37:19,HSB0196,PC-8001,unknown,unknown,device,Details about the action,Low,589b6bd9-75ff-488a-85b2-88cef6639df7,HSB0196
bbaa80c8-4b94-4699-97a3-1ffee6a37a63,2010-01-02 08:42:18,RRC0553,PC-6672,unknown,unknown,device,Details about the action,Low,bbaa80c8-4b94-4699-97a3-1ffee6a37a63,RRC0553
47dbd582-e71a-4e71-878f-8e7a1c18c15b,2010-01-02 09:04:18,RRC0553,PC-6672,unknown,unknown,device,Details about the action,Low,47dbd582-e71a-4e71-878f-8e7a1c18c15b,RRC0553
b0ddcca7-13ef-40c7-96d6-120a80c5ce55,2010-01-02 09:05:03,IIW0249,PC-0843,unknown,unknown,device,Details about the action,Low,b0ddcca7-13ef-40c7-96d6-120a80c5ce55,IIW0249
57761251-5fe3-41a6-858c-029a4ca6e63b,2010-01-02 09:14:14,MOH0273,PC-6699,unknown,unknown,device,Details about the action,Low,57761251-5fe3-41a6-858c-029a4ca6e63b,MOH0273
1a14290c-3f2b-4da2-8605-abb928c65d7b,2010-01-02 09:22:55,BQS0525,PC-0269,unknown,unknown,device,Details about the action,Low,1a14290c-3f2b-4da2-8605-abb928c65d7b,BQS0525
6e479760-935f-4510-ae38-0fecd1fa11d5,2010-01-02 09:25:02,IIW0249,PC-0843,unknown,unknown,device,Details about the action,Low,6e479760-935f-4510-ae38-0fecd1fa11d5,IIW0249
73c7c9fe-a06e-4c43-997b-eba73355fcfb,2010-01-02 09:25:33,IIW0249,PC-0843,unknown,unknown,device,Details about the action,Low,73c7c9fe-a06e-4c43-997b-eba73355fcfb,IIW0249
d2a80611-5a61-4758-b14d-a99762c70457,2010-01-02 09:36:51,MOH0273,PC-6699,unknown,unknown,device,Details about the action,Low,d2a80611-5a61-4758-b14d-a99762c70457,MOH0273
4bab74d6-a6ea-4be2-b767-74ab3574f38f,2010-01-02 09:38:58,RAW0915,PC-2113,unknown,unknown,device,Details about the action,Low,4bab74d6-a6ea-4be2-b767-74ab3574f38f,RAW0915
1199b9d0-eca7-4cbf-9496-f62d88b6b400,2010-01-02 09:39:03,RRC0553,PC-6672,unknown,unknown,device,Details about the action,Low,1199b9d0-eca7-4cbf-9496-f62d88b6b400,RRC0553
48cb4755-bf48-4e99-bb73-6e46ce85698b,2010-01-02 07:11:45,LAP0338,PC-5758,unknown,unknown,email,Details about the action,Low,48cb4755-bf48-4e99-bb73-6e46ce85698b,LAP0338
a8085e86-b66e-41fd-9b3c-5c77ca6fbbe0,2010-01-02 07:12:16,MOH0273,PC-6699,unknown,unknown,email,Details about the action,Low,a8085e86-b66e-41fd-9b3c-5c77ca6fbbe0,MOH0273
bd497025-557e-4550-842e-65241aeac8dd,2010-01-02 07:13:00,LAP0338,PC-5758,unknown,unknown,email,Details about the action,Low,bd497025-557e-4550-842e-65241aeac8dd,LAP0338
98d76d2b-cb2e-4436-8890-c07ce300c36d,2010-01-02 07:13:17,LAP0338,PC-5758,unknown,unknown,email,Details about the action,Low,98d76d2b-cb2e-4436-8890-c07ce300c36d,LAP0338
c1d7a774-7096-47b3-acef-1a97257bfdc1,2010-01-02 07:13:28,MOH0273,PC-6699,unknown,unknown,email,Details about the action,Low,c1d7a774-7096-47b3-acef-1a97257bfdc1,MOH0273
bf9492a2-0d9f-4f4a-93a3-43d147dc11c8,2010-01-02 07:36:03,HVB0037,PC-7979,unknown,unknown,email,Details about the action,Low,bf9492a2-0d9f-4f4a-93a3-43d147dc11c8,HVB0037
cd9fa714-4e16-4c96-81b8-c799f3bec04a,2010-01-02 07:52:20,NWK0215,PC-8370,unknown,unknown,email,Details about the action,Low,cd9fa714-4e16-4c96-81b8-c799f3bec04a,NWK0215
d2ee1422-4482-4218-950e-6863b33d2be5,2010-01-02 07:54:12,LRR0148,PC-4275,unknown,unknown,email,Details about the action,Low,d2ee1422-4482-4218-950e-6863b33d2be5,LRR0148
6eb140fe-16fd-4a12-aa74-bb4c5c1d0f0c,2010-01-02 07:23:14,MOH0273,PC-6699,unknown,unknown,file,Details about the action,Low,6eb140fe-16fd-4a12-aa74-bb4c5c1d0f0c,MOH0273
78d82e10-e70a-42fc-bce4-374358eddb81,2010-01-02 07:26:19,MOH0273,PC-6699,unknown,unknown,file,Details about the action,Low,78d82e10-e70a-42fc-bce4-374358eddb81,MOH0273
8c434245-d255-4b9b-9bcb-1f6b46858310,2010-01-02 08:12:03,HPH0075,PC-2417,unknown,unknown,file,Details about the action,Low,8c434245-d255-4b9b-9bcb-1f6b46858310,HPH0075
69518fd3-8c1a-4015-b26d-747b31a7be1e,2010-01-02 08:17:00,HPH0075,PC-2417,unknown,unknown,file,Details about the action,Low,69518fd3-8c1a-4015-b26d-747b31a7be1e,HPH0075
22e45f47-68fa-4282-87ad-d44c65442593,2010-01-02 08:24:57,HSB0196,PC-8001,unknown,unknown,file,Details about the action,Low,22e45f47-68fa-4282-87ad-d44c65442593,HSB0196
8cdaf3e0-95a2-4a25-8fb1-7c1f8f4d60ec,2010-01-02 08:26:49,RRC0553,PC-6672,unknown,unknown,file,Details about the action,Low,8cdaf3e0-95a2-4a25-8fb1-7c1f8f4d60ec,RRC0553
c07a4677-321b-4b2e-b774-3e8f061031f2,2010-01-02 08:27:27,RRC0553,PC-6672,unknown,unknown,file,Details about the action,Low,c07a4677-321b-4b2e-b774-3e8f061031f2,RRC0553
b1f52061-8525-457c-b229-9eeca8dadb2b,2010-01-02 08:27:37,RRC0553,PC-6672,unknown,unknown,file,Details about the action,Low,b1f52061-8525-457c-b229-9eeca8dadb2b,RRC0553
f3a72f98-feae-41db-90af-bcfa7e302f2d,2010-01-02 06:55:16,LRR0148,PC-4275,unknown,unknown,http,Details about the action,Low,f3a72f98-feae-41db-90af-bcfa7e302f2d,LRR0148
42a76e64-96eb-46ac-80e9-9e57f62ae43e,2010-01-02 07:00:13,NGF0157,PC-6056,unknown,unknown,http,Details about the action,Low,42a76e64-96eb-46ac-80e9-9e57f62ae43e,NGF0157
1fd21cdc-15c9-4d06-9a09-c26e33e8691a,2010-01-02 07:03:46,NGF0157,PC-6056,unknown,unknown,http,Details about the action,Low,1fd21cdc-15c9-4d06-9a09-c26e33e8691a,NGF0157
d4540678-24c9-4c72-8c83-5e16e9d99eb2,2010-01-02 07:05:26,IRM0931,PC-7188,unknown,unknown,http,Details about the action,Low,d4540678-24c9-4c72-8c83-5e16e9d99eb2,IRM0931
e41f7c03-7c01-4e10-a166-bb2836379551,2010-01-02 07:05:52,IRM0931,PC-7188,unknown,unknown,http,Details about the action,Low,e41f7c03-7c01-4e10-a166-bb2836379551,IRM0931
00eadc18-f21e-4c43-a8c9-7f7e99841a42,2010-01-02 07:05:55,IRM0931,PC-7188,unknown,unknown,http,Details about the action,Low,00eadc18-f21e-4c43-a8c9-7f7e99841a42,IRM0931
